Crop_Name,Soil_Type,Rainfall_Requirement,Temperature_Range,Previous_Crop,Next_Crop,Month_Planted,Month_Harvested,Growth_Duration,Region
Spices,Laterite,1500-3000 mm,29 - 31°C,Ragi,Jowar,March-May,June-July,133 days,Karnataka
Millets,Red,400-1000 mm,24 - 41°C,Millets,Sugarcane,March-May,June-July,145 days,Tamil Nadu
Maize,Alluvial,500-1500 mm,23 - 42°C,Wheat,Pulses,October-December,March-April,120 days,Uttar Pradesh
Coffee,Laterite,1500-3000 mm,17 - 43°C,Pulses,Jowar,March-May,June-July,179 days,Karnataka
Tea,Laterite,1500-3000 mm,27 - 37°C,Millets,Pulses,June-July,September-October,91 days,Tamil Nadu
Millets,Red,400-1000 mm,17 - 33°C,Groundnut,Groundnut,October-December,March-April,170 days,Andhra Pradesh
Cotton,Black,600-1100 mm,18 - 44°C,Jowar,Red Gram,June-July,September-October,158 days,Telangana
Millets,Red,400-1000 mm,16 - 43°C,Sugarcane,Pulses,June-July,September-October,146 days,Tamil Nadu
Groundnut,Black,600-1100 mm,22 - 44°C,Groundnut,Jowar,October-December,March-April,146 days,Karnataka
Rubber,Laterite,1500-3000 mm,26 - 36°C,Millets,Rice,October-December,March-April,113 days,Tamil Nadu
Vegetables,Alluvial,500-1500 mm,28 - 45°C,Pulses,Pulses,June-July,September-October,109 days,Uttar Pradesh
Groundnut,Black,600-1100 mm,21 - 44°C,Millets,Rice,June-July,September-October,132 days,Andhra Pradesh
Pulses,Red,400-1000 mm,28 - 36°C,Bengal Gram,Cotton,March-May,June-July,100 days,Telangana
Wheat,Alluvial,500-1500 mm,25 - 41°C,Mustard,Maize,October-December,March-April,162 days,Punjab
Pulses,Red,400-1000 mm,28 - 37°C,Pulses,Millets,March-May,June-July,135 days,Tamil Nadu
Jowar,Red,400-1000 mm,22 - 43°C,Groundnut,Maize,March-May,June-July,142 days,Andhra Pradesh
Ragi,Red,400-1000 mm,25 - 31°C,Cotton,Cotton,March-May,June-July,131 days,Telangana
Jowar,Red,400-1000 mm,23 - 35°C,Rice,Cotton,October-December,March-April,176 days,Telangana
Coffee,Laterite,1500-3000 mm,29 - 33°C,Rice,Wheat,March-May,June-July,103 days,Karnataka
Oilseeds,Alluvial,500-1500 mm,15 - 40°C,Bajra,Barley,June-July,September-October,156 days,Uttar Pradesh
Sugarcane,Black,600-1100 mm,29 - 35°C,Jowar,Bengal Gram,June-July,September-October,94 days,Telangana
Spices,Laterite,1500-3000 mm,21 - 40°C,Pulses,Groundnut,October-December,March-April,176 days,Tamil Nadu
Groundnut,Red,400-1000 mm,20 - 45°C,Groundnut,Jowar,March-May,June-July,107 days,Karnataka
Rice,Black,600-1100 mm,24 - 44°C,Cotton,Cotton,March-May,June-July,180 days,Telangana
Cotton,Red,400-1000 mm,23 - 43°C,Bengal Gram,Bengal Gram,October-December,March-April,110 days,Telangana
Maize,Alluvial,500-1500 mm,18 - 35°C,Cotton,Rice,October-December,March-April,106 days,Punjab
Sugarcane,Alluvial,500-1500 mm,17 - 34°C,Barley,Barley,March-May,June-July,128 days,Punjab
Sugarcane,Alluvial,500-1500 mm,15 - 44°C,Wheat,Wheat,June-July,September-October,153 days,Uttar Pradesh
Cashew,Laterite,1500-3000 mm,15 - 35°C,Sugarcane,Groundnut,March-May,June-July,155 days,Tamil Nadu
Ragi,Red,400-1000 mm,24 - 32°C,Wheat,Wheat,October-December,March-April,172 days,Uttar Pradesh
Jowar,Black,600-1100 mm,17 - 31°C,Wheat,Rice,October-December,March-April,173 days,Karnataka
Millets,Red,400-1000 mm,26 - 44°C,Pulses,Groundnut,June-July,September-October,161 days,Andhra Pradesh
Groundnut,Black,600-1100 mm,15 - 39°C,Maize,Maize,March-May,June-July,155 days,Andhra Pradesh
Ragi,Red,400-1000 mm,15 - 32°C,Millets,Sugarcane,March-May,June-July,90 days,Tamil Nadu
Rice,Alluvial,500-1500 mm,18 - 31°C,Mustard,Wheat,October-December,March-April,168 days,Punjab
Pulses,Red,400-1000 mm,19 - 45°C,Pulses,Rice,October-December,March-April,146 days,Andhra Pradesh
Ragi,Red,400-1000 mm,22 - 40°C,Pulses,Bajra,October-December,March-April,145 days,Uttar Pradesh
Cotton,Red,400-1000 mm,26 - 44°C,Jowar,Jowar,June-July,September-October,133 days,Telangana
Vegetables,Alluvial,500-1500 mm,21 - 37°C,Cotton,Barley,March-May,June-July,107 days,Punjab
Vegetables,Alluvial,500-1500 mm,25 - 34°C,Cotton,Wheat,March-May,June-July,124 days,Punjab
Pulses,Red,400-1000 mm,24 - 34°C,Pulses,Jowar,October-December,March-April,143 days,Karnataka
Sugarcane,Alluvial,500-1500 mm,30 - 41°C,Wheat,Wheat,March-May,June-July,132 days,Punjab
Sugarcane,Black,600-1100 mm,16 - 44°C,Millets,Millets,June-July,September-October,161 days,Andhra Pradesh
Maize,Alluvial,500-1500 mm,23 - 32°C,Barley,Wheat,June-July,September-October,110 days,Punjab
Pulses,Red,400-1000 mm,25 - 42°C,Groundnut,Maize,March-May,June-July,165 days,Andhra Pradesh
Maize,Alluvial,500-1500 mm,26 - 43°C,Maize,Cotton,June-July,September-October,168 days,Punjab
Maize,Alluvial,500-1500 mm,22 - 33°C,Barley,Cotton,October-December,March-April,167 days,Punjab
Ragi,Red,400-1000 mm,20 - 37°C,Rice,Pulses,March-May,June-July,160 days,Karnataka
Groundnut,Black,600-1100 mm,23 - 37°C,Cotton,Red Gram,March-May,June-July,105 days,Telangana
Groundnut,Red,400-1000 mm,20 - 41°C,Jowar,Red Gram,March-May,June-July,151 days,Telangana
Maize,Alluvial,500-1500 mm,24 - 40°C,Mustard,Maize,June-July,September-October,132 days,Punjab
Cotton,Black,600-1100 mm,25 - 34°C,Millets,Maize,October-December,March-April,134 days,Andhra Pradesh
Oilseeds,Alluvial,500-1500 mm,16 - 41°C,Barley,Mustard,October-December,March-April,99 days,Punjab
Pulses,Red,400-1000 mm,15 - 36°C,Pulses,Groundnut,March-May,June-July,128 days,Tamil Nadu
Jowar,Black,600-1100 mm,18 - 38°C,Bengal Gram,Red Gram,October-December,March-April,179 days,Telangana
Coffee,Laterite,1500-3000 mm,27 - 40°C,Jowar,Pulses,October-December,March-April,113 days,Karnataka
Wheat,Alluvial,500-1500 mm,29 - 36°C,Cotton,Cotton,October-December,March-April,156 days,Punjab
Vegetables,Alluvial,500-1500 mm,21 - 40°C,Barley,Maize,March-May,June-July,108 days,Punjab
Groundnut,Red,400-1000 mm,29 - 44°C,Pulses,Ragi,June-July,September-October,133 days,Karnataka
Millets,Red,400-1000 mm,30 - 33°C,Ragi,Rice,October-December,March-April,93 days,Karnataka
Groundnut,Red,400-1000 mm,29 - 31°C,Millets,Pulses,March-May,June-July,97 days,Andhra Pradesh
Groundnut,Black,600-1100 mm,23 - 34°C,Jowar,Cotton,March-May,June-July,93 days,Telangana
Jowar,Red,400-1000 mm,25 - 39°C,Rice,Bajra,October-December,March-April,111 days,Uttar Pradesh
Sugarcane,Alluvial,500-1500 mm,22 - 37°C,Bajra,Pulses,October-December,March-April,171 days,Uttar Pradesh
Oilseeds,Alluvial,500-1500 mm,25 - 38°C,Lentils,Pulses,March-May,June-July,178 days,Uttar Pradesh
Cotton,Red,400-1000 mm,20 - 34°C,Sugarcane,Pulses,June-July,September-October,130 days,Tamil Nadu
Jowar,Black,600-1100 mm,15 - 30°C,Jowar,Ragi,June-July,September-October,110 days,Karnataka
Jowar,Black,600-1100 mm,26 - 36°C,Groundnut,Pulses,June-July,September-October,108 days,Karnataka
Maize,Alluvial,500-1500 mm,27 - 34°C,Rice,Pulses,October-December,March-April,164 days,Uttar Pradesh
Pulses,Red,400-1000 mm,30 - 31°C,Cotton,Red Gram,October-December,March-April,147 days,Telangana
Groundnut,Black,600-1100 mm,25 - 41°C,Rice,Groundnut,March-May,June-July,110 days,Andhra Pradesh
Tea,Laterite,1500-3000 mm,20 - 41°C,Sugarcane,Sugarcane,June-July,September-October,164 days,Tamil Nadu
Oilseeds,Alluvial,500-1500 mm,16 - 30°C,Barley,Lentils,March-May,June-July,105 days,Uttar Pradesh
Cotton,Black,600-1100 mm,29 - 42°C,Groundnut,Rice,June-July,September-October,111 days,Andhra Pradesh
Ragi,Red,400-1000 mm,15 - 30°C,Maize,Maize,March-May,June-July,158 days,Andhra Pradesh
Cotton,Red,400-1000 mm,20 - 45°C,Wheat,Bajra,October-December,March-April,161 days,Uttar Pradesh
Jowar,Black,600-1100 mm,25 - 38°C,Cotton,Red Gram,October-December,March-April,176 days,Telangana
Pulses,Red,400-1000 mm,26 - 39°C,Rice,Cotton,March-May,June-July,146 days,Telangana
Spices,Laterite,1500-3000 mm,15 - 37°C,Ragi,Ragi,June-July,September-October,176 days,Karnataka
Pulses,Red,400-1000 mm,24 - 33°C,Pulses,Millets,October-December,March-April,92 days,Andhra Pradesh
Oilseeds,Alluvial,500-1500 mm,24 - 37°C,Lentils,Rice,March-May,June-July,166 days,Uttar Pradesh
Cotton,Black,600-1100 mm,17 - 33°C,Pulses,Maize,March-May,June-July,107 days,Andhra Pradesh
Ragi,Red,400-1000 mm,19 - 36°C,Pulses,Groundnut,October-December,March-April,164 days,Karnataka
Pulses,Red,400-1000 mm,19 - 37°C,Millets,Groundnut,March-May,June-July,107 days,Andhra Pradesh
Tea,Laterite,1500-3000 mm,25 - 40°C,Pulses,Pulses,October-December,March-April,146 days,Tamil Nadu
Ragi,Red,400-1000 mm,16 - 42°C,Bengal Gram,Jowar,March-May,June-July,146 days,Telangana
Jowar,Red,400-1000 mm,18 - 37°C,Ragi,Rice,June-July,September-October,127 days,Karnataka
Cotton,Black,600-1100 mm,19 - 43°C,Ragi,Wheat,October-December,March-April,141 days,Karnataka
Coffee,Laterite,1500-3000 mm,24 - 37°C,Sugarcane,Groundnut,March-May,June-July,172 days,Tamil Nadu
Groundnut,Black,600-1100 mm,23 - 31°C,Groundnut,Wheat,October-December,March-April,127 days,Karnataka
Pulses,Red,400-1000 mm,18 - 36°C,Pulses,Pulses,October-December,March-April,140 days,Andhra Pradesh
Vegetables,Alluvial,500-1500 mm,29 - 38°C,Mustard,Barley,March-May,June-July,177 days,Punjab
Ragi,Red,400-1000 mm,15 - 44°C,Pulses,Pulses,June-July,September-October,160 days,Uttar Pradesh
Rice,Alluvial,500-1500 mm,19 - 43°C,Rice,Lentils,June-July,September-October,96 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,23 - 30°C,Rice,Barley,March-May,June-July,168 days,Punjab
Tea,Laterite,1500-3000 mm,19 - 34°C,Wheat,Jowar,October-December,March-April,157 days,Karnataka
Wheat,Alluvial,500-1500 mm,22 - 41°C,Barley,Maize,October-December,March-April,110 days,Punjab
Rice,Black,600-1100 mm,29 - 38°C,Ragi,Ragi,March-May,June-July,178 days,Karnataka
Groundnut,Red,400-1000 mm,18 - 43°C,Pulses,Rice,October-December,March-April,139 days,Uttar Pradesh
Cotton,Red,400-1000 mm,21 - 33°C,Pulses,Rice,March-May,June-July,99 days,Uttar Pradesh
Groundnut,Black,600-1100 mm,27 - 33°C,Jowar,Ragi,October-December,March-April,178 days,Karnataka
Pulses,Red,400-1000 mm,22 - 36°C,Lentils,Wheat,June-July,September-October,118 days,Uttar Pradesh
Rice,Black,600-1100 mm,23 - 38°C,Pulses,Jowar,June-July,September-October,160 days,Karnataka
Rice,Alluvial,500-1500 mm,26 - 30°C,Barley,Pulses,June-July,September-October,107 days,Uttar Pradesh
Rice,Alluvial,500-1500 mm,28 - 33°C,Rice,Wheat,June-July,September-October,177 days,Punjab
Millets,Red,400-1000 mm,21 - 42°C,Millets,Millets,October-December,March-April,128 days,Andhra Pradesh
Maize,Alluvial,500-1500 mm,22 - 43°C,Rice,Mustard,October-December,March-April,112 days,Punjab
Rubber,Laterite,1500-3000 mm,26 - 43°C,Pulses,Groundnut,October-December,March-April,150 days,Tamil Nadu
Jowar,Black,600-1100 mm,17 - 45°C,Rice,Ragi,June-July,September-October,171 days,Karnataka
Sugarcane,Black,600-1100 mm,18 - 33°C,Rice,Jowar,June-July,September-October,131 days,Telangana
Cotton,Red,400-1000 mm,20 - 43°C,Bajra,Lentils,June-July,September-October,138 days,Uttar Pradesh
Millets,Red,400-1000 mm,21 - 38°C,Sugarcane,Pulses,June-July,September-October,93 days,Tamil Nadu
Coffee,Laterite,1500-3000 mm,20 - 41°C,Sugarcane,Groundnut,March-May,June-July,127 days,Tamil Nadu
Pulses,Red,400-1000 mm,26 - 41°C,Pulses,Pulses,March-May,June-July,157 days,Tamil Nadu
Rice,Black,600-1100 mm,22 - 45°C,Maize,Maize,March-May,June-July,94 days,Andhra Pradesh
Jowar,Red,400-1000 mm,17 - 37°C,Cotton,Red Gram,June-July,September-October,119 days,Telangana
Rice,Black,600-1100 mm,18 - 36°C,Rice,Cotton,March-May,June-July,132 days,Telangana
Groundnut,Black,600-1100 mm,24 - 33°C,Groundnut,Jowar,October-December,March-April,177 days,Karnataka
Sugarcane,Alluvial,500-1500 mm,20 - 33°C,Barley,Cotton,March-May,June-July,162 days,Punjab
Sugarcane,Alluvial,500-1500 mm,23 - 43°C,Barley,Wheat,October-December,March-April,107 days,Punjab
Pulses,Red,400-1000 mm,16 - 35°C,Pulses,Rice,June-July,September-October,116 days,Tamil Nadu
Rice,Alluvial,500-1500 mm,22 - 34°C,Barley,Barley,June-July,September-October,111 days,Uttar Pradesh
Millets,Red,400-1000 mm,20 - 40°C,Rice,Bajra,October-December,March-April,178 days,Uttar Pradesh
Jowar,Black,600-1100 mm,25 - 32°C,Rice,Pulses,March-May,June-July,159 days,Andhra Pradesh
Pulses,Red,400-1000 mm,21 - 34°C,Groundnut,Sugarcane,October-December,March-April,151 days,Tamil Nadu
Cotton,Red,400-1000 mm,15 - 38°C,Jowar,Red Gram,June-July,September-October,147 days,Telangana
Oilseeds,Alluvial,500-1500 mm,20 - 31°C,Rice,Pulses,March-May,June-July,170 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,26 - 43°C,Wheat,Barley,March-May,June-July,94 days,Uttar Pradesh
Groundnut,Black,600-1100 mm,19 - 33°C,Groundnut,Pulses,October-December,March-April,118 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,19 - 42°C,Mustard,Barley,March-May,June-July,94 days,Punjab
Sugarcane,Black,600-1100 mm,17 - 41°C,Groundnut,Groundnut,October-December,March-April,114 days,Andhra Pradesh
Ragi,Red,400-1000 mm,28 - 37°C,Red Gram,Rice,June-July,September-October,142 days,Telangana
Pulses,Red,400-1000 mm,26 - 31°C,Bajra,Barley,June-July,September-October,150 days,Uttar Pradesh
Tea,Laterite,1500-3000 mm,22 - 41°C,Pulses,Groundnut,June-July,September-October,146 days,Tamil Nadu
Jowar,Black,600-1100 mm,30 - 34°C,Red Gram,Rice,March-May,June-July,133 days,Telangana
Groundnut,Red,400-1000 mm,26 - 34°C,Pulses,Wheat,October-December,March-April,139 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,20 - 36°C,Maize,Wheat,March-May,June-July,175 days,Punjab
Pulses,Red,400-1000 mm,15 - 30°C,Rice,Millets,March-May,June-July,168 days,Andhra Pradesh
Millets,Red,400-1000 mm,20 - 38°C,Groundnut,Millets,June-July,September-October,179 days,Tamil Nadu
Ragi,Red,400-1000 mm,23 - 43°C,Wheat,Pulses,October-December,March-April,174 days,Karnataka
Cotton,Red,400-1000 mm,30 - 40°C,Red Gram,Rice,June-July,September-October,135 days,Telangana
Pulses,Red,400-1000 mm,20 - 40°C,Groundnut,Sugarcane,October-December,March-April,92 days,Tamil Nadu
Groundnut,Black,600-1100 mm,17 - 43°C,Groundnut,Rice,October-December,March-April,91 days,Andhra Pradesh
Millets,Red,400-1000 mm,28 - 32°C,Rice,Lentils,March-May,June-July,145 days,Uttar Pradesh
Sugarcane,Black,600-1100 mm,27 - 41°C,Pulses,Maize,March-May,June-July,174 days,Andhra Pradesh
Cashew,Laterite,1500-3000 mm,15 - 41°C,Jowar,Jowar,June-July,September-October,129 days,Karnataka
Coffee,Laterite,1500-3000 mm,21 - 31°C,Wheat,Jowar,October-December,March-April,95 days,Karnataka
Rice,Black,600-1100 mm,27 - 33°C,Bengal Gram,Rice,March-May,June-July,121 days,Telangana
Jowar,Black,600-1100 mm,29 - 41°C,Pulses,Pulses,June-July,September-October,168 days,Karnataka
Wheat,Alluvial,500-1500 mm,22 - 34°C,Rice,Barley,October-December,March-April,115 days,Punjab
Maize,Alluvial,500-1500 mm,15 - 39°C,Barley,Mustard,June-July,September-October,101 days,Punjab
Rice,Alluvial,500-1500 mm,23 - 32°C,Mustard,Cotton,June-July,September-October,176 days,Punjab
Jowar,Red,400-1000 mm,23 - 33°C,Red Gram,Rice,October-December,March-April,127 days,Telangana
Rice,Black,600-1100 mm,26 - 44°C,Jowar,Pulses,October-December,March-April,111 days,Karnataka
Tea,Laterite,1500-3000 mm,28 - 36°C,Wheat,Wheat,October-December,March-April,104 days,Karnataka
Jowar,Red,400-1000 mm,19 - 38°C,Rice,Sugarcane,June-July,September-October,128 days,Tamil Nadu
Wheat,Alluvial,500-1500 mm,21 - 39°C,Pulses,Rice,October-December,March-April,99 days,Uttar Pradesh
Wheat,Alluvial,500-1500 mm,22 - 40°C,Rice,Maize,October-December,March-April,143 days,Punjab
Groundnut,Red,400-1000 mm,20 - 37°C,Rice,Millets,June-July,September-October,175 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,25 - 45°C,Lentils,Pulses,October-December,March-April,124 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,18 - 32°C,Groundnut,Rice,October-December,March-April,146 days,Tamil Nadu
Pulses,Red,400-1000 mm,21 - 37°C,Millets,Rice,June-July,September-October,138 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,26 - 41°C,Wheat,Pulses,June-July,September-October,169 days,Uttar Pradesh
Oilseeds,Alluvial,500-1500 mm,21 - 36°C,Wheat,Maize,October-December,March-April,172 days,Punjab
Wheat,Alluvial,500-1500 mm,23 - 30°C,Maize,Maize,October-December,March-April,156 days,Punjab
Wheat,Alluvial,500-1500 mm,20 - 33°C,Barley,Bajra,June-July,September-October,172 days,Uttar Pradesh
Rice,Black,600-1100 mm,22 - 44°C,Jowar,Bengal Gram,June-July,September-October,161 days,Telangana
Rice,Black,600-1100 mm,19 - 43°C,Rice,Groundnut,June-July,September-October,120 days,Andhra Pradesh
Rice,Black,600-1100 mm,18 - 45°C,Red Gram,Bengal Gram,October-December,March-April,96 days,Telangana
Jowar,Black,600-1100 mm,16 - 42°C,Maize,Groundnut,June-July,September-October,175 days,Andhra Pradesh
Cotton,Red,400-1000 mm,20 - 41°C,Rice,Jowar,June-July,September-October,91 days,Telangana
Coffee,Laterite,1500-3000 mm,25 - 43°C,Millets,Pulses,March-May,June-July,148 days,Tamil Nadu
Coffee,Laterite,1500-3000 mm,26 - 33°C,Millets,Groundnut,March-May,June-July,166 days,Tamil Nadu
Cotton,Red,400-1000 mm,22 - 34°C,Rice,Red Gram,June-July,September-October,143 days,Telangana
Groundnut,Red,400-1000 mm,26 - 45°C,Rice,Jowar,October-December,March-April,174 days,Telangana
Groundnut,Red,400-1000 mm,28 - 39°C,Wheat,Ragi,June-July,September-October,125 days,Karnataka
Groundnut,Red,400-1000 mm,25 - 34°C,Pulses,Rice,June-July,September-October,133 days,Uttar Pradesh
Oilseeds,Alluvial,500-1500 mm,22 - 30°C,Lentils,Lentils,June-July,September-October,161 days,Uttar Pradesh
Tea,Laterite,1500-3000 mm,25 - 45°C,Sugarcane,Groundnut,March-May,June-July,155 days,Tamil Nadu
Rice,Black,600-1100 mm,25 - 38°C,Groundnut,Maize,June-July,September-October,95 days,Andhra Pradesh
Tea,Laterite,1500-3000 mm,17 - 37°C,Millets,Groundnut,June-July,September-October,136 days,Tamil Nadu
Millets,Red,400-1000 mm,16 - 34°C,Ragi,Groundnut,March-May,June-July,107 days,Karnataka
Sugarcane,Black,600-1100 mm,26 - 32°C,Jowar,Jowar,March-May,June-July,157 days,Karnataka
Jowar,Black,600-1100 mm,27 - 34°C,Maize,Millets,June-July,September-October,129 days,Andhra Pradesh
Coffee,Laterite,1500-3000 mm,16 - 33°C,Pulses,Sugarcane,March-May,June-July,153 days,Tamil Nadu
Jowar,Red,400-1000 mm,17 - 34°C,Bengal Gram,Red Gram,October-December,March-April,162 days,Telangana
Coffee,Laterite,1500-3000 mm,22 - 34°C,Jowar,Wheat,October-December,March-April,132 days,Karnataka
Groundnut,Red,400-1000 mm,29 - 45°C,Millets,Maize,June-July,September-October,155 days,Andhra Pradesh
Coffee,Laterite,1500-3000 mm,21 - 38°C,Rice,Sugarcane,March-May,June-July,106 days,Tamil Nadu
Vegetables,Alluvial,500-1500 mm,19 - 32°C,Barley,Wheat,October-December,March-April,112 days,Punjab
Jowar,Red,400-1000 mm,20 - 30°C,Pulses,Rice,March-May,June-July,144 days,Andhra Pradesh
Cashew,Laterite,1500-3000 mm,25 - 36°C,Rice,Groundnut,June-July,September-October,113 days,Tamil Nadu
Rice,Black,600-1100 mm,15 - 44°C,Pulses,Groundnut,October-December,March-April,141 days,Andhra Pradesh
Jowar,Red,400-1000 mm,18 - 34°C,Red Gram,Bengal Gram,March-May,June-July,114 days,Telangana
Jowar,Red,400-1000 mm,22 - 40°C,Wheat,Bajra,March-May,June-July,174 days,Uttar Pradesh
Millets,Red,400-1000 mm,15 - 33°C,Groundnut,Millets,June-July,September-October,126 days,Andhra Pradesh
Tea,Laterite,1500-3000 mm,30 - 33°C,Groundnut,Pulses,October-December,March-April,159 days,Tamil Nadu
Cashew,Laterite,1500-3000 mm,16 - 38°C,Rice,Pulses,June-July,September-October,123 days,Tamil Nadu
Maize,Alluvial,500-1500 mm,30 - 40°C,Rice,Cotton,June-July,September-October,175 days,Punjab
Spices,Laterite,1500-3000 mm,17 - 37°C,Rice,Jowar,June-July,September-October,120 days,Karnataka
Tea,Laterite,1500-3000 mm,27 - 33°C,Groundnut,Pulses,March-May,June-July,123 days,Tamil Nadu
Rubber,Laterite,1500-3000 mm,25 - 34°C,Groundnut,Millets,October-December,March-April,175 days,Tamil Nadu
Groundnut,Black,600-1100 mm,23 - 37°C,Jowar,Cotton,March-May,June-July,129 days,Telangana
Groundnut,Red,400-1000 mm,18 - 32°C,Bajra,Pulses,March-May,June-July,114 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,29 - 40°C,Mustard,Rice,March-May,June-July,126 days,Punjab
Pulses,Red,400-1000 mm,21 - 44°C,Bajra,Rice,March-May,June-July,139 days,Uttar Pradesh
Jowar,Red,400-1000 mm,22 - 31°C,Pulses,Groundnut,June-July,September-October,165 days,Tamil Nadu
Rice,Alluvial,500-1500 mm,25 - 43°C,Wheat,Wheat,June-July,September-October,135 days,Punjab
Millets,Red,400-1000 mm,17 - 42°C,Pulses,Maize,March-May,June-July,153 days,Andhra Pradesh
Wheat,Alluvial,500-1500 mm,29 - 35°C,Wheat,Pulses,October-December,March-April,96 days,Uttar Pradesh
Groundnut,Black,600-1100 mm,27 - 40°C,Maize,Millets,June-July,September-October,123 days,Andhra Pradesh
Vegetables,Alluvial,500-1500 mm,22 - 35°C,Wheat,Wheat,March-May,June-July,102 days,Punjab
Spices,Laterite,1500-3000 mm,28 - 40°C,Pulses,Ragi,March-May,June-July,109 days,Karnataka
Cotton,Red,400-1000 mm,16 - 38°C,Wheat,Barley,March-May,June-July,97 days,Uttar Pradesh
Spices,Laterite,1500-3000 mm,25 - 39°C,Rice,Jowar,March-May,June-July,145 days,Karnataka
Jowar,Red,400-1000 mm,27 - 35°C,Cotton,Rice,October-December,March-April,107 days,Telangana
Spices,Laterite,1500-3000 mm,22 - 35°C,Pulses,Ragi,March-May,June-July,163 days,Karnataka
Wheat,Alluvial,500-1500 mm,17 - 30°C,Mustard,Maize,October-December,March-April,120 days,Punjab
Cotton,Black,600-1100 mm,28 - 44°C,Millets,Groundnut,March-May,June-July,128 days,Andhra Pradesh
Cotton,Red,400-1000 mm,30 - 36°C,Bajra,Lentils,June-July,September-October,103 days,Uttar Pradesh
Cashew,Laterite,1500-3000 mm,17 - 39°C,Rice,Groundnut,June-July,September-October,176 days,Tamil Nadu
Tea,Laterite,1500-3000 mm,25 - 35°C,Groundnut,Jowar,June-July,September-October,101 days,Karnataka
Jowar,Black,600-1100 mm,26 - 38°C,Bengal Gram,Cotton,October-December,March-April,178 days,Telangana
Ragi,Red,400-1000 mm,24 - 34°C,Cotton,Jowar,March-May,June-July,165 days,Telangana
Vegetables,Alluvial,500-1500 mm,18 - 36°C,Bajra,Pulses,June-July,September-October,140 days,Uttar Pradesh
Spices,Laterite,1500-3000 mm,16 - 42°C,Groundnut,Groundnut,June-July,September-October,106 days,Tamil Nadu
Jowar,Black,600-1100 mm,22 - 42°C,Red Gram,Cotton,October-December,March-April,95 days,Telangana
Jowar,Black,600-1100 mm,27 - 44°C,Groundnut,Pulses,October-December,March-April,124 days,Andhra Pradesh
Ragi,Red,400-1000 mm,29 - 44°C,Groundnut,Pulses,March-May,June-July,164 days,Tamil Nadu
Coffee,Laterite,1500-3000 mm,28 - 39°C,Rice,Pulses,June-July,September-October,165 days,Karnataka
Groundnut,Red,400-1000 mm,28 - 39°C,Millets,Groundnut,March-May,June-July,160 days,Andhra Pradesh
Vegetables,Alluvial,500-1500 mm,15 - 31°C,Maize,Maize,March-May,June-July,104 days,Punjab
Rice,Black,600-1100 mm,16 - 33°C,Jowar,Jowar,June-July,September-October,99 days,Telangana
Rice,Alluvial,500-1500 mm,26 - 38°C,Maize,Cotton,October-December,March-April,139 days,Punjab
Sugarcane,Alluvial,500-1500 mm,23 - 35°C,Barley,Wheat,March-May,June-July,180 days,Uttar Pradesh
Rice,Black,600-1100 mm,22 - 44°C,Red Gram,Jowar,June-July,September-October,119 days,Telangana
Tea,Laterite,1500-3000 mm,23 - 45°C,Sugarcane,Groundnut,March-May,June-July,178 days,Tamil Nadu
Pulses,Red,400-1000 mm,27 - 33°C,Wheat,Barley,March-May,June-July,139 days,Uttar Pradesh
Cotton,Black,600-1100 mm,15 - 45°C,Jowar,Jowar,June-July,September-October,131 days,Telangana
Rice,Black,600-1100 mm,22 - 41°C,Cotton,Jowar,June-July,September-October,93 days,Telangana
Groundnut,Black,600-1100 mm,16 - 38°C,Millets,Rice,June-July,September-October,169 days,Andhra Pradesh
Ragi,Red,400-1000 mm,19 - 36°C,Barley,Bajra,October-December,March-April,125 days,Uttar Pradesh
Coffee,Laterite,1500-3000 mm,27 - 40°C,Wheat,Wheat,March-May,June-July,109 days,Karnataka
Spices,Laterite,1500-3000 mm,26 - 37°C,Ragi,Jowar,March-May,June-July,163 days,Karnataka
Wheat,Alluvial,500-1500 mm,22 - 32°C,Maize,Mustard,October-December,March-April,133 days,Punjab
Wheat,Alluvial,500-1500 mm,22 - 45°C,Wheat,Mustard,October-December,March-April,122 days,Punjab
Jowar,Black,600-1100 mm,15 - 37°C,Bengal Gram,Cotton,October-December,March-April,114 days,Telangana
Jowar,Red,400-1000 mm,29 - 45°C,Cotton,Red Gram,March-May,June-July,151 days,Telangana
Cotton,Red,400-1000 mm,20 - 43°C,Jowar,Rice,June-July,September-October,155 days,Karnataka
Jowar,Red,400-1000 mm,25 - 37°C,Barley,Rice,March-May,June-July,136 days,Uttar Pradesh
Jowar,Black,600-1100 mm,19 - 34°C,Cotton,Bengal Gram,October-December,March-April,112 days,Telangana
Oilseeds,Alluvial,500-1500 mm,30 - 43°C,Barley,Barley,October-December,March-April,132 days,Punjab
Jowar,Red,400-1000 mm,18 - 45°C,Rice,Pulses,June-July,September-October,97 days,Karnataka
Pulses,Red,400-1000 mm,15 - 36°C,Bengal Gram,Red Gram,June-July,September-October,138 days,Telangana
